Villa Lasalle,"
48/39 Soi Phatsawi 1, Khwaeng Bang Na, Khet Bang Na
","26,26,52.28,52,27.65,26,26,55,32,53,53,32.32,26,25.43,26,26,25.43,26","9,000,8,500,17,000,20,000,7,500,8,000,8,500,25,000,10,000,16,000,16,500,12,500,12,000,9,000,10,000,9,900,13,000,12,000"
Four Street Mansion,"
Phahon Yothin 24 Yaek 2-1, Chom Phon, Chatuchak, Bangkok 10900
",,
Lugano Ladprao 18,"
Soi Lat Phrao 18 Yaek 10, Chom Phon, Chatuchak, Bangkok 10900
","35.38,72,38","11,000,22,000,11,000"
Young Place Grand Le Gardine Paholyothin 37,"
14 Soi Phahon Yothin 37, Khwaeng Lat Yao, Khet Chatuchak
","75,150","17,000,40,000"
Z 2 Condominium,"
617 Thanon Lat Phrao, Khwaeng Chom Phon, Khet Chatuchak
","37,37,37","11,000,10,990,11,000"
You Condo,"
Soi Sena Nikhom 2, Khwaeng Sena Nikhom, Khet Chatuchak
","30,30","6,200,6,200"
You 3 Condo @ Yak Kaset,"
Soi, Khwaeng Lat Yao, Khet Chatuchak
","26,29,29,28,28,28,28,30,30,30,28,29,29","8,000,7,500,7,500,7,000,7,000,7,500,8,500,9,000,9,500,9,500,9,000,7,500,7,500"
Yen Sabai Dee 3,"
119 Soi Ratchadaphisek 36 Yaek 9-3-2, Khwaeng Chan Kasem, Khet Chatuchak
",,
Wilmore,"
Thanon Sana Nikhom 1, Chan Kasem, Chatuchak, Bangkok 10900
",,
You 2 Condo @ Yak Kaset,"
Soi Phahon Yothin 34 Yaek 16, Khwaeng Sena Nikhom, Khet Chatuchak
","28,29,30,30,28,28,28.36,28,28,28,30,28","8,500,8,000,8,000,7,500,7,500,8,000,9,000,7,500,7,500,8,500,7,000,7,500"
W.P. Central Condominium,"
Soi Lat Phrao 1, Lane 2, Khwaeng Chom Phon, Khet Chatuchak
",,
Viphavee Ratchada - Viphavadi 16,"
58 Soi Vibhavadi Rangsit 16, Khwaeng Chom Phon, Khet Chatuchak
",,
